experiment_id,dataset,num_gpus,strategy,model_name,dataset_fraction,batch_size,num_iterations,dim,n_layers,n_heads,total_time_s,training_time_s,dataset_size_bytes,success,error_msg,gpu_0_max_util_%,gpu_0_max_mem_mib,gpu_1_max_util_%,gpu_1_max_mem_mib
80,bookcorpus,2,DP,large,0.05,64,1024,1024,8,64,1411.5142731666565,1384.5275,4835329162,True,,100,20269,100.0,20269.0
81,bookcorpus,2,TP,large,0.05,64,1024,1024,8,64,944.827780008316,897.0192,4835329162,True,,100,17047,100.0,17089.0
82,pg19,1,SingleGPU,small,0.02,16,128,256,2,16,190.61878848075867,4.7293,11511573599.0,True,,97,2231,,
83,pg19,1,SingleGPU,small,0.02,16,512,256,2,16,24.24283480644226,14.1244,11511573599.0,True,,97,2231,,
84,pg19,1,SingleGPU,small,0.02,16,1024,256,2,16,36.02696442604065,27.3808,11511573599.0,True,,97,2231,,
85,pg19,1,SingleGPU,small,0.02,32,128,256,2,16,15.069099187850952,6.7165,11511573599.0,True,,99,3967,,
86,pg19,1,SingleGPU,small,0.02,32,512,256,2,16,32.88832187652588,24.6636,11511573599.0,True,,99,3967,,
87,pg19,1,SingleGPU,small,0.02,32,1024,256,2,16,56.65815544128418,48.8212,11511573599.0,True,,99,3967,,
88,pg19,1,SingleGPU,small,0.02,64,128,256,2,16,20.40549945831299,12.2827,11511573599.0,True,,100,9307,,
89,pg19,1,SingleGPU,small,0.02,64,512,256,2,16,55.39217972755432,47.3202,11511573599.0,True,,100,9307,,
90,pg19,1,SingleGPU,small,0.02,64,1024,256,2,16,102.81200766563416,94.1753,11511573599.0,True,,100,9307,,
91,pg19,1,SingleGPU,base,0.02,16,128,512,4,32,19.638314723968506,10.1276,11511573599.0,True,,100,3043,,
92,pg19,1,SingleGPU,base,0.02,16,512,512,4,32,47.02026009559631,38.8458,11511573599.0,True,,100,3043,,
93,pg19,1,SingleGPU,base,0.02,16,1024,512,4,32,85.89234685897827,77.0842,11511573599.0,True,,100,3043,,
94,pg19,1,SingleGPU,base,0.02,32,128,512,4,32,27.273353099822998,18.4164,11511573599.0,True,,100,5197,,
95,pg19,1,SingleGPU,base,0.02,32,512,512,4,32,80.24871706962585,72.163,11511573599.0,True,,100,5197,,
96,pg19,1,SingleGPU,base,0.02,32,1024,512,4,32,152.91966462135315,143.7521,11511573599.0,True,,100,5197,,
97,pg19,1,SingleGPU,base,0.02,64,128,512,4,32,44.183343172073364,35.1878,11511573599.0,True,,100,11651,,
98,pg19,1,SingleGPU,base,0.02,64,512,512,4,32,148.7568633556366,139.6682,11511573599.0,True,,100,11651,,
99,pg19,1,SingleGPU,base,0.02,64,1024,512,4,32,288.20272850990295,279.3917,11511573599.0,True,,100,11651,,
100,pg19,1,SingleGPU,large,0.02,16,128,1024,8,64,55.39244723320007,43.4324,11511573599.0,True,,100,7053,,
101,pg19,1,SingleGPU,large,0.02,16,512,1024,8,64,184.08346343040466,173.4979,11511573599.0,True,,100,7053,,
102,pg19,1,SingleGPU,large,0.02,16,1024,1024,8,64,356.2762620449066,345.5781,11511573599.0,True,,100,7053,,
103,pg19,1,SingleGPU,large,0.02,32,128,1024,8,64,93.33216071128845,82.0021,11511573599.0,True,,100,11839,,
104,pg19,1,SingleGPU,large,0.02,32,512,1024,8,64,340.0409016609192,329.003,11511573599.0,True,,100,11839,,
105,pg19,1,SingleGPU,large,0.02,32,1024,1024,8,64,671.7189168930054,660.7304,11511573599.0,True,,100,11839,,
106,pg19,1,SingleGPU,large,0.02,64,128,1024,8,64,173.040376663208,162.351,11511573599.0,True,,100,20407,,
107,pg19,1,SingleGPU,large,0.02,64,512,1024,8,64,663.6918458938599,652.2482,11511573599.0,True,,100,20407,,
108,pg19,1,SingleGPU,large,0.02,64,1024,1024,8,64,1317.1386682987213,1306.0417,11511573599.0,True,,100,20407,,
109,pg19,2,DP,small,0.02,16,128,256,2,16,503.15413784980774,10.4821,11511573599.0,True,,92,2491,93.0,2491.0
110,pg19,2,TP,small,0.02,16,128,256,2,16,481.98715901374817,24.4099,11511573599.0,True,,100,2939,100.0,2975.0
111,pg19,2,DP,small,0.02,16,512,256,2,16,40.363667488098145,18.1393,11511573599.0,True,,93,2491,93.0,2491.0
112,pg19,2,TP,small,0.02,16,512,256,2,16,65.51388716697693,48.5851,11511573599.0,True,,95,2939,93.0,2975.0
113,pg19,2,DP,small,0.02,16,1024,256,2,16,51.069329500198364,34.293,11511573599.0,True,,93,2491,93.0,2491.0
114,pg19,2,TP,small,0.02,16,1024,256,2,16,111.76318192481995,95.7401,11511573599.0,True,,51,2939,100.0,2975.0
115,pg19,2,DP,small,0.02,32,128,256,2,16,24.82445192337036,8.1948,11511573599.0,True,,97,4207,97.0,4207.0
116,pg19,2,TP,small,0.02,32,128,256,2,16,29.404294729232788,13.726,11511573599.0,True,,98,5301,96.0,5357.0
117,pg19,2,DP,small,0.02,32,512,256,2,16,44.24002981185913,28.2401,11511573599.0,True,,97,4207,97.0,4207.0
118,pg19,2,TP,small,0.02,32,512,256,2,16,66.92315459251404,50.7292,11511573599.0,True,,99,5301,80.0,5357.0
119,pg19,2,DP,small,0.02,32,1024,256,2,16,72.24666428565979,55.361,11511573599.0,True,,97,4207,97.0,4207.0
120,pg19,2,TP,small,0.02,32,1024,256,2,16,115.28215003013611,98.2516,11511573599.0,True,,96,5301,100.0,5365.0
121,pg19,2,DP,small,0.02,64,128,256,2,16,29.2189679145813,12.5065,11511573599.0,True,,99,7567,99.0,7567.0
122,pg19,2,TP,small,0.02,64,128,256,2,16,37.56949043273926,20.5435,11511573599.0,True,,91,10113,94.0,10057.0
123,pg19,2,DP,small,0.02,64,512,256,2,16,62.77997040748596,46.3961,11511573599.0,True,,99,7567,99.0,7567.0
124,pg19,2,TP,small,0.02,64,512,256,2,16,93.15436792373657,76.676,11511573599.0,True,,99,10097,96.0,10057.0
125,pg19,2,DP,small,0.02,64,1024,256,2,16,110.29366946220398,91.8033,11511573599.0,True,,99,7567,99.0,7567.0
126,pg19,2,TP,small,0.02,64,1024,256,2,16,167.9399971961975,151.8397,11511573599.0,True,,91,10117,91.0,10057.0
127,pg19,2,DP,base,0.02,16,128,512,4,32,29.911567211151123,12.2755,11511573599.0,True,,97,3953,100.0,3953.0
128,pg19,2,TP,base,0.02,16,128,512,4,32,39.87523603439331,23.246,11511573599.0,True,,90,3371,94.0,3339.0
129,pg19,2,DP,base,0.02,16,512,512,4,32,63.785167932510376,45.7549,11511573599.0,True,,98,3953,98.0,3953.0
130,pg19,2,TP,base,0.02,16,512,512,4,32,104.78640079498291,87.2827,11511573599.0,True,,99,3363,99.0,3339.0
131,pg19,2,DP,base,0.02,16,1024,512,4,32,108.48911380767822,90.4093,11511573599.0,True,,98,3953,98.0,3953.0
132,pg19,2,TP,base,0.02,16,1024,512,4,32,190.01132321357727,172.8939,11511573599.0,True,,68,3323,99.0,3379.0
133,pg19,2,DP,base,0.02,32,128,512,4,32,38.332979679107666,20.8043,11511573599.0,True,,99,6657,99.0,6657.0
134,pg19,2,TP,base,0.02,32,128,512,4,32,40.27426481246948,23.5456,11511573599.0,True,,99,6045,98.0,6061.0
135,pg19,2,DP,base,0.02,32,512,512,4,32,97.07812833786011,79.968,11511573599.0,True,,99,6657,99.0,6657.0
136,pg19,2,TP,base,0.02,32,512,512,4,32,105.2094657421112,88.299,11511573599.0,True,,99,6053,93.0,6061.0
137,pg19,2,DP,base,0.02,32,1024,512,4,32,177.56133699417114,158.9364,11511573599.0,True,,99,6657,99.0,6657.0
138,pg19,2,TP,base,0.02,32,1024,512,4,32,190.4731764793396,173.0736,11511573599.0,True,,99,6013,98.0,6089.0
139,pg19,2,DP,base,0.02,64,128,512,4,32,52.20626616477966,34.5799,11511573599.0,True,,100,10141,100.0,10141.0
140,pg19,2,TP,base,0.02,64,128,512,4,32,51.877323389053345,34.8604,11511573599.0,True,,100,11453,100.0,11357.0
141,pg19,2,DP,base,0.02,64,512,512,4,32,153.72454571723938,135.853,11511573599.0,True,,100,10141,100.0,10141.0
142,pg19,2,TP,base,0.02,64,512,512,4,32,151.04575109481812,134.2692,11511573599.0,True,,100,11405,100.0,11357.0
143,pg19,2,DP,base,0.02,64,1024,512,4,32,289.0871891975403,271.3907,11511573599.0,True,,100,10141,100.0,10141.0
144,pg19,2,TP,base,0.02,64,1024,512,4,32,285.24456238746643,266.947,11511573599.0,True,,100,11341,100.0,11421.0
145,pg19,2,DP,large,0.02,16,128,1024,8,64,74.73586821556091,51.5147,11511573599.0,True,,100,7745,100.0,7745.0
146,pg19,2,TP,large,0.02,16,128,1024,8,64,62.79619598388672,41.9375,11511573599.0,True,,99,5587,99.0,5133.0
147,pg19,2,DP,large,0.02,16,512,1024,8,64,226.67606925964355,203.9252,11511573599.0,True,,100,7745,100.0,7745.0
148,pg19,2,TP,large,0.02,16,512,1024,8,64,182.65391373634338,162.1013,11511573599.0,True,,100,5119,100.0,5585.0
149,pg19,2,DP,large,0.02,16,1024,1024,8,64,432.9968421459198,409.4964,11511573599.0,True,,100,7745,100.0,7745.0
150,pg19,2,TP,large,0.02,16,1024,1024,8,64,347.4685688018799,326.415,11511573599.0,True,,100,5617,100.0,5585.0
151,pg19,2,DP,large,0.02,32,128,1024,8,64,115.59651041030884,91.1971,11511573599.0,True,,100,12695,100.0,12695.0
152,pg19,2,TP,large,0.02,32,128,1024,8,64,80.2572169303894,58.9112,11511573599.0,True,,100,8833,100.0,8787.0
153,pg19,2,DP,large,0.02,32,512,1024,8,64,389.56668972969055,365.5478,11511573599.0,True,,100,12695,100.0,12695.0
154,pg19,2,TP,large,0.02,32,512,1024,8,64,252.54664134979248,231.5331,11511573599.0,True,,100,8745,100.0,8783.0
155,pg19,2,DP,large,0.02,32,1024,1024,8,64,754.9447708129883,730.5556,11511573599.0,True,,100,12695,100.0,12695.0
156,pg19,2,TP,large,0.02,32,1024,1024,8,64,483.38863039016724,461.8591,11511573599.0,True,,100,9771,100.0,9849.0
157,pg19,2,DP,large,0.02,64,128,1024,8,64,181.15679121017456,157.6875,11511573599.0,True,,100,20269,100.0,20269.0
158,pg19,2,TP,large,0.02,64,128,1024,8,64,134.39137363433838,112.5005,11511573599.0,True,,100,17043,100.0,17181.0
159,pg19,2,DP,large,0.02,64,512,1024,8,64,655.7121775150299,631.8624,11511573599.0,True,,100,20269,100.0,20269.0
160,pg19,2,TP,large,0.02,64,512,1024,8,64,468.61392283439636,447.2493,11511573599.0,True,,100,17045,100.0,17073.0
161,pg19,2,DP,large,0.02,64,1024,1024,8,64,1286.2144622802734,1262.5627,11511573599.0,True,,100,20269,100.0,20269.0
162,pg19,2,TP,large,0.02,64,1024,1024,8,64,914.1738557815552,892.6356,11511573599.0,True,,100,17301,100.0,17053.0
163,wiki40b,1,SingleGPU,small,0.02,16,128,256,2,16,135.82485055923462,4.0494,10473052983.0,True,,97,2231,,
164,wiki40b,1,SingleGPU,small,0.02,16,512,256,2,16,26.745368480682373,14.0363,10473052983.0,True,,98,2231,,
165,wiki40b,1,SingleGPU,small,0.02,16,1024,256,2,16,40.06243419647217,27.4979,10473052983.0,True,,97,2231,,
166,wiki40b,1,SingleGPU,small,0.02,32,128,256,2,16,20.381056785583496,6.7247,10473052983.0,True,,99,3967,,
167,wiki40b,1,SingleGPU,small,0.02,32,512,256,2,16,37.03788995742798,24.747,10473052983.0,True,,99,3967,,
168,wiki40b,1,SingleGPU,small,0.02,32,1024,256,2,16,62.13324332237244,49.0806,10473052983.0,True,,99,3967,,
169,wiki40b,1,SingleGPU,small,0.02,64,128,256,2,16,25.624794006347656,12.3328,10473052983.0,True,,100,7307,,
170,wiki40b,1,SingleGPU,small,0.02,64,512,256,2,16,60.71766948699951,47.3691,10473052983.0,True,,100,7307,,
171,wiki40b,1,SingleGPU,small,0.02,64,1024,256,2,16,107.57731080055237,94.2594,10473052983.0,True,,100,7307,,
172,wiki40b,1,SingleGPU,base,0.02,16,128,512,4,32,23.48863458633423,10.0783,10473052983.0,True,,100,3043,,
173,wiki40b,1,SingleGPU,base,0.02,16,512,512,4,32,51.931187868118286,38.9073,10473052983.0,True,,100,3043,,
174,wiki40b,1,SingleGPU,base,0.02,16,1024,512,4,32,91.00210666656494,77.4059,10473052983.0,True,,100,3043,,
175,wiki40b,1,SingleGPU,base,0.02,32,128,512,4,32,31.689868688583374,18.484,10473052983.0,True,,100,5195,,
176,wiki40b,1,SingleGPU,base,0.02,32,512,512,4,32,85.72911381721497,72.647,10473052983.0,True,,100,5195,,
177,wiki40b,1,SingleGPU,base,0.02,32,1024,512,4,32,158.51457238197327,144.7384,10473052983.0,True,,100,5195,,
178,wiki40b,1,SingleGPU,base,0.02,64,128,512,4,32,49.125887632369995,35.42,10473052983.0,True,,100,9651,,
179,wiki40b,1,SingleGPU,base,0.02,64,512,512,4,32,154.56400108337402,140.7185,10473052983.0,True,,100,9651,,
180,wiki40b,1,SingleGPU,base,0.02,64,1024,512,4,32,294.1082046031952,280.6394,10473052983.0,True,,100,9651,,
181,wiki40b,1,SingleGPU,large,0.02,16,128,1024,8,64,59.56560277938843,43.317,10473052983.0,True,,100,7053,,
182,wiki40b,1,SingleGPU,large,0.02,16,512,1024,8,64,189.6210322380066,173.3996,10473052983.0,True,,100,7053,,
183,wiki40b,1,SingleGPU,large,0.02,16,1024,1024,8,64,365.32388639450073,348.2245,10473052983.0,True,,100,7053,,
184,wiki40b,1,SingleGPU,large,0.02,32,128,1024,8,64,98.95307230949402,82.4999,10473052983.0,True,,100,10839,,
185,wiki40b,1,SingleGPU,large,0.02,32,512,1024,8,64,345.9934551715851,330.3799,10473052983.0,True,,100,10839,,
186,wiki40b,1,SingleGPU,large,0.02,32,1024,1024,8,64,680.2555842399597,664.7104,10473052983.0,True,,100,10839,,
187,wiki40b,1,SingleGPU,large,0.02,64,128,1024,8,64,178.74118185043335,163.6867,10473052983.0,True,,100,18407,,
188,wiki40b,1,SingleGPU,large,0.02,64,512,1024,8,64,672.8101375102997,656.8498,10473052983.0,True,,100,18407,,
189,wiki40b,1,SingleGPU,large,0.02,64,1024,1024,8,64,1331.5801057815552,1315.3308,10473052983.0,True,,100,20407,,
190,wiki40b,2,DP,small,0.02,16,128,256,2,16,203.48716163635254,5.4749,10473052983.0,True,,92,2491,93.0,2491.0
191,wiki40b,2,TP,small,0.02,16,128,256,2,16,213.6907913684845,13.5423,10473052983.0,True,,45,2959,97.0,2955.0
192,wiki40b,2,DP,small,0.02,16,512,256,2,16,38.130759477615356,17.989,10473052983.0,True,,93,2491,93.0,2491.0
193,wiki40b,2,TP,small,0.02,16,512,256,2,16,68.95579290390015,48.7817,10473052983.0,True,,85,2939,95.0,2975.0
194,wiki40b,2,DP,small,0.02,16,1024,256,2,16,54.28008842468262,34.3016,10473052983.0,True,,93,2491,93.0,2491.0
195,wiki40b,2,TP,small,0.02,16,1024,256,2,16,116.91334438323975,96.1999,10473052983.0,True,,78,2959,95.0,2955.0
196,wiki40b,2,DP,small,0.02,32,128,256,2,16,28.566325902938843,8.4625,10473052983.0,True,,98,4207,97.0,4207.0
197,wiki40b,2,TP,small,0.02,32,128,256,2,16,34.55345630645752,14.2616,10473052983.0,True,,100,5341,83.0,5317.0
198,wiki40b,2,DP,small,0.02,32,512,256,2,16,48.627718687057495,28.4681,10473052983.0,True,,97,4207,100.0,4207.0
199,wiki40b,2,TP,small,0.02,32,512,256,2,16,70.6756682395935,49.8417,10473052983.0,True,,99,5301,100.0,5357.0
200,wiki40b,2,DP,small,0.02,32,1024,256,2,16,76.05966067314148,56.1323,10473052983.0,True,,97,4207,97.0,4207.0
201,wiki40b,2,TP,small,0.02,32,1024,256,2,16,119.31869792938232,98.8603,10473052983.0,True,,99,5341,89.0,5317.0
202,wiki40b,2,DP,small,0.02,64,128,256,2,16,34.055445432662964,13.8306,10473052983.0,True,,99,7567,99.0,7567.0
203,wiki40b,2,TP,small,0.02,64,128,256,2,16,41.127885580062866,21.4563,10473052983.0,True,,91,10113,91.0,10057.0
204,wiki40b,2,DP,small,0.02,64,512,256,2,16,71.34789276123047,51.1398,10473052983.0,True,,99,7567,100.0,7567.0
205,wiki40b,2,TP,small,0.02,64,512,256,2,16,97.95812058448792,77.1278,10473052983.0,True,,94,10041,91.0,10129.0
206,wiki40b,2,DP,small,0.02,64,1024,256,2,16,121.38052487373352,101.1901,10473052983.0,True,,99,7567,99.0,7567.0
207,wiki40b,2,TP,small,0.02,64,1024,256,2,16,174.286274433136,153.7797,10473052983.0,True,,100,10113,99.0,10057.0
208,wiki40b,2,DP,base,0.02,16,128,512,4,32,34.361255407333374,12.3181,10473052983.0,True,,98,3451,97.0,3451.0
209,wiki40b,2,TP,base,0.02,16,128,512,4,32,44.85866117477417,23.4681,10473052983.0,True,,99,3323,66.0,3371.0
210,wiki40b,2,DP,base,0.02,16,512,512,4,32,67.51659560203552,46.2994,10473052983.0,True,,98,3451,98.0,3451.0
211,wiki40b,2,TP,base,0.02,16,512,512,4,32,108.17634797096252,86.1357,10473052983.0,True,,94,3323,96.0,3379.0
