dataset,num_cores,n_estimators,max_depth,training_time_s,data_fraction,actual_samples
susy,20,100,6,2.378286838531494,0.25,1250000
susy,20,100,10,4.163309097290039,0.25,1250000
susy,20,500,6,8.808696031570435,0.25,1250000
susy,20,500,10,17.88194489479065,0.25,1250000
susy,1,100,6,34.45082473754883,0.5,2500000
susy,1,100,10,48.1853392124176,0.5,2500000
susy,1,500,6,121.57298493385315,0.5,2500000
susy,1,500,10,185.74762225151062,0.5,2500000
susy,5,100,6,8.672157287597656,0.5,2500000
susy,5,100,10,12.57185411453247,0.5,2500000
susy,5,500,6,31.552258729934692,0.5,2500000
susy,5,500,10,50.60971522331238,0.5,2500000
susy,10,100,6,7.966124534606934,0.5,2500000
susy,10,100,10,11.747256994247437,0.5,2500000
susy,10,500,6,29.547651529312134,0.5,2500000
susy,10,500,10,47.43847918510437,0.5,2500000
susy,15,100,6,6.22849702835083,0.5,2500000
susy,15,100,10,9.27806043624878,0.5,2500000
susy,15,500,6,22.52203869819641,0.5,2500000
susy,15,500,10,37.61063861846924,0.5,2500000
susy,20,100,6,4.9957873821258545,0.5,2500000
susy,20,100,10,7.856371164321899,0.5,2500000
susy,20,500,6,17.964411735534668,0.5,2500000
susy,20,500,10,31.218313932418823,0.5,2500000
susy,1,100,6,71.83017587661743,1.0,5000000
susy,1,100,10,98.2303535938263,1.0,5000000
susy,1,500,6,252.7146499156952,1.0,5000000
susy,1,500,10,358.2404828071594,1.0,5000000
susy,5,100,6,18.25263500213623,1.0,5000000
susy,5,100,10,25.913795709609985,1.0,5000000
susy,5,500,6,65.39774990081787,1.0,5000000
susy,5,500,10,97.47323846817017,1.0,5000000
susy,10,100,6,16.547205209732056,1.0,5000000
susy,10,100,10,23.081956386566162,1.0,5000000
susy,10,500,6,62.68411326408386,1.0,5000000
susy,10,500,10,91.36026811599731,1.0,5000000
susy,15,100,6,13.3705153465271,1.0,5000000
susy,15,100,10,19.2230327129364,1.0,5000000
susy,15,500,6,48.29105544090271,1.0,5000000
susy,15,500,10,72.42085552215576,1.0,5000000
susy,20,100,6,10.610687971115112,1.0,5000000
susy,20,100,10,16.15431046485901,1.0,5000000
susy,20,500,6,39.36971735954285,1.0,5000000
susy,20,500,10,62.408634185791016,1.0,5000000
taxis_usa,1,100,6,31.84116792678833,0.25,3187246
taxis_usa,1,100,10,45.02484202384949,0.25,3187246
taxis_usa,1,500,6,109.04582476615906,0.25,3187246
taxis_usa,1,500,10,172.62332773208618,0.25,3187246
taxis_usa,5,100,6,11.331798315048218,0.25,3187246
taxis_usa,5,100,10,13.975096464157104,0.25,3187246
taxis_usa,5,500,6,34.33514738082886,0.25,3187246
taxis_usa,5,500,10,52.470091819763184,0.25,3187246
taxis_usa,10,100,6,9.40355396270752,0.25,3187246
taxis_usa,10,100,10,11.73769235610962,0.25,3187246
taxis_usa,10,500,6,27.258098363876343,0.25,3187246
taxis_usa,10,500,10,45.707958459854126,0.25,3187246
taxis_usa,15,100,6,7.562897443771362,0.25,3187246
taxis_usa,15,100,10,10.592851400375366,0.25,3187246
