dataset,num_cores,n_estimators,max_depth,training_time_s,data_fraction,actual_samples
microsoft,1,500,6,216.70268940925598,0.25,180853
microsoft,1,500,10,479.3742632865906,0.25,180853
microsoft,5,100,6,12.81926679611206,0.25,180853
microsoft,5,100,10,33.902209758758545,0.25,180853
microsoft,5,500,6,61.090712547302246,0.25,180853
microsoft,5,500,10,147.6775665283203,0.25,180853
microsoft,10,100,6,12.279120206832886,0.25,180853
microsoft,10,100,10,28.71984577178955,0.25,180853
microsoft,10,500,6,55.96146535873413,0.25,180853
microsoft,10,500,10,131.63167929649353,0.25,180853
microsoft,15,100,6,9.43437385559082,0.25,180853
microsoft,15,100,10,24.526574850082397,0.25,180853
microsoft,15,500,6,43.38466715812683,0.25,180853
microsoft,15,500,10,105.42344927787781,0.25,180853
microsoft,20,100,6,7.8620686531066895,0.25,180853
microsoft,20,100,10,20.59359312057495,0.25,180853
microsoft,20,500,6,36.18447208404541,0.25,180853
microsoft,20,500,10,92.90749406814575,0.25,180853
microsoft,1,100,6,84.93353223800659,0.5,361706
microsoft,1,100,10,178.02704644203186,0.5,361706
microsoft,1,500,6,323.17545652389526,0.5,361706
microsoft,1,500,10,742.1323418617249,0.5,361706
microsoft,5,100,6,24.741232872009277,0.5,361706
microsoft,5,100,10,49.96160364151001,0.5,361706
microsoft,5,500,6,106.00367498397827,0.5,361706
microsoft,5,500,10,215.03152513504028,0.5,361706
microsoft,10,100,6,21.11224865913391,0.5,361706
microsoft,10,100,10,43.64141249656677,0.5,361706
microsoft,10,500,6,90.2802312374115,0.5,361706
microsoft,10,500,10,191.88994789123535,0.5,361706
microsoft,15,100,6,15.627217769622803,0.5,361706
microsoft,15,100,10,35.82274651527405,0.5,361706
microsoft,15,500,6,68.75462889671326,0.5,361706
microsoft,15,500,10,151.03194904327393,0.5,361706
microsoft,20,100,6,12.679014444351196,0.5,361706
microsoft,20,100,10,29.923956394195557,0.5,361706
microsoft,20,500,6,54.88264083862305,0.5,361706
microsoft,20,500,10,131.0358123779297,0.5,361706
microsoft,1,100,6,167.8778018951416,1.0,723412
microsoft,1,100,10,291.58011269569397,1.0,723412
microsoft,1,500,6,675.8332118988037,1.0,723412
microsoft,1,500,10,1197.1392681598663,1.0,723412
microsoft,5,100,6,43.2780339717865,1.0,723412
microsoft,5,100,10,78.72925138473511,1.0,723412
microsoft,5,500,6,178.0380847454071,1.0,723412
microsoft,5,500,10,347.1089143753052,1.0,723412
microsoft,10,100,6,39.56757664680481,1.0,723412
microsoft,10,100,10,71.25345158576965,1.0,723412
microsoft,10,500,6,162.45398807525635,1.0,723412
microsoft,10,500,10,305.69789838790894,1.0,723412
microsoft,15,100,6,28.46608829498291,1.0,723412
microsoft,15,100,10,53.304065465927124,1.0,723412
microsoft,15,500,6,119.6415114402771,1.0,723412
microsoft,15,500,10,231.4467294216156,1.0,723412
microsoft,20,100,6,22.92987561225891,1.0,723412
microsoft,20,100,10,44.7835693359375,1.0,723412
microsoft,20,500,6,94.66164779663086,1.0,723412
microsoft,20,500,10,191.5453977584839,1.0,723412
susy,1,100,6,15.72005295753479,0.25,1250000
susy,1,100,10,23.27714204788208,0.25,1250000
susy,1,500,6,54.938353300094604,0.25,1250000
susy,1,500,10,94.62034893035889,0.25,1250000
susy,5,100,6,4.225547790527344,0.25,1250000
susy,5,100,10,6.447613477706909,0.25,1250000
susy,5,500,6,14.164587259292603,0.25,1250000
susy,5,500,10,26.07041573524475,0.25,1250000
susy,10,100,6,3.8281548023223877,0.25,1250000
susy,10,100,10,5.966123342514038,0.25,1250000
susy,10,500,6,14.031190395355225,0.25,1250000
susy,10,500,10,25.71302604675293,0.25,1250000
susy,15,100,6,3.3338723182678223,0.25,1250000
susy,15,100,10,4.820231199264526,0.25,1250000
susy,15,500,6,10.839914083480835,0.25,1250000
susy,15,500,10,20.539260149002075,0.25,1250000
susy,20,100,6,2.348954677581787,0.25,1250000
susy,20,100,10,4.1071696281433105,0.25,1250000
susy,20,500,6,8.792367458343506,0.25,1250000
susy,20,500,10,17.621623754501343,0.25,1250000
susy,1,100,6,33.554577112197876,0.5,2500000
susy,1,100,10,47.95229959487915,0.5,2500000
susy,1,500,6,119.46283483505249,0.5,2500000
susy,1,500,10,182.961651802063,0.5,2500000
susy,5,100,6,9.181028604507446,0.5,2500000
susy,5,100,10,13.39557409286499,0.5,2500000
susy,5,500,6,31.447147369384766,0.5,2500000
susy,5,500,10,51.742642879486084,0.5,2500000
susy,10,100,6,8.186278581619263,0.5,2500000
susy,10,100,10,11.803425550460815,0.5,2500000
susy,10,500,6,29.716732263565063,0.5,2500000
susy,10,500,10,47.3528368473053,0.5,2500000
susy,15,100,6,6.272947788238525,0.5,2500000
susy,15,100,10,9.257567882537842,0.5,2500000
susy,15,500,6,21.864254474639893,0.5,2500000
susy,15,500,10,35.90435767173767,0.5,2500000
susy,20,100,6,4.924980878829956,0.5,2500000
susy,20,100,10,7.714092969894409,0.5,2500000
susy,20,500,6,18.179426908493042,0.5,2500000
susy,20,500,10,30.235331058502197,0.5,2500000
susy,1,100,6,71.54179906845093,1.0,5000000
susy,1,100,10,98.1516785621643,1.0,5000000
susy,1,500,6,255.2950038909912,1.0,5000000
susy,1,500,10,365.465758562088,1.0,5000000
susy,5,100,6,18.52810049057007,1.0,5000000
susy,5,100,10,26.185009479522705,1.0,5000000
susy,5,500,6,66.30256819725037,1.0,5000000
susy,5,500,10,99.26078629493713,1.0,5000000
susy,10,100,6,16.467129945755005,1.0,5000000
susy,10,100,10,23.381118535995483,1.0,5000000
susy,10,500,6,62.79325032234192,1.0,5000000
susy,10,500,10,90.01616096496582,1.0,5000000
susy,15,100,6,12.838707208633423,1.0,5000000
susy,15,100,10,18.54561448097229,1.0,5000000
susy,15,500,6,47.77374291419983,1.0,5000000
susy,15,500,10,74.14837980270386,1.0,5000000
susy,20,100,6,10.685869693756104,1.0,5000000
susy,20,100,10,15.724025249481201,1.0,5000000
susy,20,500,6,37.473880767822266,1.0,5000000
susy,20,500,10,61.37174081802368,1.0,5000000
taxis_usa,1,100,6,31.34970259666443,0.25,3187246
taxis_usa,1,100,10,43.617491722106934,0.25,3187246
taxis_usa,1,500,6,106.84065914154053,0.25,3187246
taxis_usa,1,500,10,169.8420753479004,0.25,3187246
taxis_usa,5,100,6,10.162996053695679,0.25,3187246
taxis_usa,5,100,10,14.446016073226929,0.25,3187246
taxis_usa,5,500,6,32.80313801765442,0.25,3187246
taxis_usa,5,500,10,54.29959201812744,0.25,3187246
taxis_usa,10,100,6,8.896942853927612,0.25,3187246
taxis_usa,10,100,10,11.758134603500366,0.25,3187246
taxis_usa,10,500,6,27.988451719284058,0.25,3187246
taxis_usa,10,500,10,46.103554010391235,0.25,3187246
taxis_usa,15,100,6,8.040249824523926,0.25,3187246
taxis_usa,15,100,10,10.66546082496643,0.25,3187246
taxis_usa,15,500,6,22.996052980422974,0.25,3187246
taxis_usa,15,500,10,37.66037845611572,0.25,3187246
taxis_usa,20,100,6,7.178869962692261,0.25,3187246
taxis_usa,20,100,10,9.431571006774902,0.25,3187246
taxis_usa,20,500,6,20.065861225128174,0.25,3187246
taxis_usa,20,500,10,33.564417362213135,0.25,3187246
taxis_usa,1,100,6,65.07404661178589,0.5,6374493
taxis_usa,1,100,10,92.61197829246521,0.5,6374493
taxis_usa,1,500,6,224.07623291015625,0.5,6374493
taxis_usa,1,500,10,337.54325580596924,0.5,6374493
taxis_usa,5,100,6,22.42073130607605,0.5,6374493
taxis_usa,5,100,10,30.09953784942627,0.5,6374493
taxis_usa,5,500,6,74.4032564163208,0.5,6374493
taxis_usa,5,500,10,108.90391278266907,0.5,6374493
taxis_usa,10,100,6,18.417572498321533,0.5,6374493
taxis_usa,10,100,10,24.52304697036743,0.5,6374493
taxis_usa,10,500,6,57.960944414138794,0.5,6374493
taxis_usa,10,500,10,88.66942739486694,0.5,6374493
taxis_usa,15,100,6,16.855709552764893,0.5,6374493
taxis_usa,15,100,10,21.416816473007202,0.5,6374493
taxis_usa,15,500,6,48.44699454307556,0.5,6374493
taxis_usa,15,500,10,72.3194854259491,0.5,6374493
taxis_usa,20,100,6,15.788124799728394,0.5,6374493
taxis_usa,20,100,10,21.19667077064514,0.5,6374493
taxis_usa,20,500,6,44.066067695617676,0.5,6374493
taxis_usa,20,500,10,65.55957794189453,0.5,6374493
taxis_usa,1,100,6,119.41331481933594,1.0,12748986
taxis_usa,1,100,10,165.26929926872253,1.0,12748986
taxis_usa,1,500,6,445.412739276886,1.0,12748986
taxis_usa,1,500,10,643.2695107460022,1.0,12748986
taxis_usa,5,100,6,38.70068860054016,1.0,12748986
taxis_usa,5,100,10,53.633060455322266,1.0,12748986
taxis_usa,5,500,6,136.99586629867554,1.0,12748986
taxis_usa,5,500,10,199.47269225120544,1.0,12748986
taxis_usa,10,100,6,38.4658203125,1.0,12748986
taxis_usa,10,100,10,51.5498993396759,1.0,12748986
taxis_usa,10,500,6,112.2901542186737,1.0,12748986
